Geo Key,City,Country/Region,State/Province,Postal Code,Region
Aberdeen|South Dakota,Aberdeen,United States,South Dakota,57401,Central
Abilene|Texas,Abilene,United States,Texas,79605,Central
Akron|Ohio,Akron,United States,Ohio,44312,East
Albuquerque|New Mexico,Albuquerque,United States,New Mexico,87105,West
Alexandria|Virginia,Alexandria,United States,Virginia,22304,South
Allen|Texas,Allen,United States,Texas,75002,Central
Allentown|Pennsylvania,Allentown,United States,Pennsylvania,18103,East
Altoona|Pennsylvania,Altoona,United States,Pennsylvania,16602,East
Amarillo|Texas,Amarillo,United States,Texas,79109,Central
Anaheim|California,Anaheim,United States,California,92804,West
Andover|Massachusetts,Andover,United States,Massachusetts,1810,East
Ann Arbor|Michigan,Ann Arbor,United States,Michigan,48104,Central
Antioch|California,Antioch,United States,California,94509,West
Apopka|Florida,Apopka,United States,Florida,32712,South
Apple Valley|California,Apple Valley,United States,California,92307,West
Apple Valley|Minnesota,Apple Valley,United States,Minnesota,55124,Central
Appleton|Wisconsin,Appleton,United States,Wisconsin,54915,Central
Arlington|Texas,Arlington,United States,Texas,76017,Central
Arlington|Virginia,Arlington,United States,Virginia,22204,South
Arlington Heights|Illinois,Arlington Heights,United States,Illinois,60004,Central
Arvada|Colorado,Arvada,United States,Colorado,80004,West
Asheville|North Carolina,Asheville,United States,North Carolina,28806,South
Athens|Georgia,Athens,United States,Georgia,30605,South
Atlanta|Georgia,Atlanta,United States,Georgia,30318,South
Atlantic City|New Jersey,Atlantic City,United States,New Jersey,8401,East
Auburn|Alabama,Auburn,United States,Alabama,36830,South
Auburn|New York,Auburn,United States,New York,13021,East
Auburn|Washington,Auburn,United States,Washington,98002,West
Aurora|Colorado,Aurora,United States,Colorado,80013,West
Aurora|Illinois,Aurora,United States,Illinois,60505,Central
Austin|Texas,Austin,United States,Texas,78745,Central
Avondale|Arizona,Avondale,United States,Arizona,85323,West
Bakersfield|California,Bakersfield,United States,California,93309,West
Baltimore|Maryland,Baltimore,United States,Maryland,21215,East
Bangor|Maine,Bangor,United States,Maine,4401,East
Bartlett|Tennessee,Bartlett,United States,Tennessee,38134,South
Bayonne|New Jersey,Bayonne,United States,New Jersey,7002,East
Baytown|Texas,Baytown,United States,Texas,77520,Central
Beaumont|Texas,Beaumont,United States,Texas,77705,Central
Bedford|Texas,Bedford,United States,Texas,76021,Central
Belleville|New Jersey,Belleville,United States,New Jersey,7109,East
Bellevue|Washington,Bellevue,United States,Washington,98006,West
Bellingham|Washington,Bellingham,United States,Washington,98226,West
Bethlehem|Pennsylvania,Bethlehem,United States,Pennsylvania,18018,East
Beverly|Massachusetts,Beverly,United States,Massachusetts,1915,East
Billings|Montana,Billings,United States,Montana,59102,West
Bloomington|Illinois,Bloomington,United States,Illinois,61701,Central
Bloomington|Indiana,Bloomington,United States,Indiana,47401,Central
Boca Raton|Florida,Boca Raton,United States,Florida,33433,South
Boise|Idaho,Boise,United States,Idaho,83704,West
Bolingbrook|Illinois,Bolingbrook,United States,Illinois,60440,Central
Bossier City|Louisiana,Bossier City,United States,Louisiana,71111,South
Bowling Green|Kentucky,Bowling Green,United States,Kentucky,42104,South
Bowling Green|Ohio,Bowling Green,United States,Ohio,43402,East
Boynton Beach|Florida,Boynton Beach,United States,Florida,33437,South
Bozeman|Montana,Bozeman,United States,Montana,59715,West
Brentwood|California,Brentwood,United States,California,94513,West
Bridgeton|New Jersey,Bridgeton,United States,New Jersey,8302,East
Bristol|Connecticut,Bristol,United States,Connecticut,6010,East
Bristol|Tennessee,Bristol,United States,Tennessee,37620,South
Broken Arrow|Oklahoma,Broken Arrow,United States,Oklahoma,74012,Central
Broomfield|Colorado,Broomfield,United States,Colorado,80020,West
Brownsville|Texas,Brownsville,United States,Texas,78521,Central
Bryan|Texas,Bryan,United States,Texas,77803,Central
Buffalo|New York,Buffalo,United States,New York,14215,East
Buffalo Grove|Illinois,Buffalo Grove,United States,Illinois,60089,Central
Bullhead City|Arizona,Bullhead City,United States,Arizona,86442,West
Burbank|California,Burbank,United States,California,91505,West
Burlington|Iowa,Burlington,United States,Iowa,52601,Central
Burlington|North Carolina,Burlington,United States,North Carolina,27217,South
Burlington|Vermont,Burlington,United States,Vermont,05401,East
Caldwell|Idaho,Caldwell,United States,Idaho,83605,West
Calgary|Alberta,Calgary,Canada,Alberta,T1Y,West
Camarillo|California,Camarillo,United States,California,93010,West
Cambridge|Massachusetts,Cambridge,United States,Massachusetts,2138,East
Canton|Michigan,Canton,United States,Michigan,48187,Central
Carlsbad|New Mexico,Carlsbad,United States,New Mexico,88220,West
Carol Stream|Illinois,Carol Stream,United States,Illinois,60188,Central
Carrollton|Texas,Carrollton,United States,Texas,75007,Central
Cary|North Carolina,Cary,United States,North Carolina,27511,South
Cedar Hill|Texas,Cedar Hill,United States,Texas,75104,Central
Cedar Rapids|Iowa,Cedar Rapids,United States,Iowa,52402,Central
Champaign|Illinois,Champaign,United States,Illinois,61821,Central
Chandler|Arizona,Chandler,United States,Arizona,85224,West
Chapel Hill|North Carolina,Chapel Hill,United States,North Carolina,27514,South
Charlotte|North Carolina,Charlotte,United States,North Carolina,28205,South
Charlottesville|Virginia,Charlottesville,United States,Virginia,22901,South
Charlottetown|Prince Edward Island,Charlottetown,Canada,Prince Edward Island,C0A,East
Chattanooga|Tennessee,Chattanooga,United States,Tennessee,37421,South
Chesapeake|Virginia,Chesapeake,United States,Virginia,23320,South
Chester|Pennsylvania,Chester,United States,Pennsylvania,19013,East
Cheyenne|Wyoming,Cheyenne,United States,Wyoming,82001,West
Chicago|Illinois,Chicago,United States,Illinois,60610,Central
Chico|California,Chico,United States,California,95928,West
Chula Vista|California,Chula Vista,United States,California,91911,West
Cincinnati|Ohio,Cincinnati,United States,Ohio,45231,East
Citrus Heights|California,Citrus Heights,United States,California,95610,West
Clarksville|Tennessee,Clarksville,United States,Tennessee,37042,South
Cleveland|Ohio,Cleveland,United States,Ohio,44105,East
Clifton|New Jersey,Clifton,United States,New Jersey,7011,East
Clinton|Maryland,Clinton,United States,Maryland,20735,East
Clovis|New Mexico,Clovis,United States,New Mexico,88101,West
Coachella|California,Coachella,United States,California,92236,West
College Station|Texas,College Station,United States,Texas,77840,Central
Colorado Springs|Colorado,Colorado Springs,United States,Colorado,80906,West
Columbia|Maryland,Columbia,United States,Maryland,21044,East
Columbia|Missouri,Columbia,United States,Missouri,65203,Central
Columbia|South Carolina,Columbia,United States,South Carolina,29203,South
Columbia|Tennessee,Columbia,United States,Tennessee,38401,South
Columbus|Georgia,Columbus,United States,Georgia,31907,South
Columbus|Indiana,Columbus,United States,Indiana,47201,Central
Columbus|Ohio,Columbus,United States,Ohio,43229,East
Commerce City|Colorado,Commerce City,United States,Colorado,80022,West
Concord|California,Concord,United States,California,94521,West
Concord|New Hampshire,Concord,United States,New Hampshire,3301,East
Concord|North Carolina,Concord,United States,North Carolina,28027,South
Conroe|Texas,Conroe,United States,Texas,77301,Central
Conway|Arkansas,Conway,United States,Arkansas,72032,South
Coon Rapids|Minnesota,Coon Rapids,United States,Minnesota,55433,Central
Coppell|Texas,Coppell,United States,Texas,75019,Central
Coral Gables|Florida,Coral Gables,United States,Florida,33134,South
Coral Springs|Florida,Coral Springs,United States,Florida,33065,South
Corpus Christi|Texas,Corpus Christi,United States,Texas,78415,Central
Costa Mesa|California,Costa Mesa,United States,California,92627,West
Cottage Grove|Minnesota,Cottage Grove,United States,Minnesota,55016,Central
Covington|Washington,Covington,United States,Washington,98042,West
Cranston|Rhode Island,Cranston,United States,Rhode Island,2920,East
Cuyahoga Falls|Ohio,Cuyahoga Falls,United States,Ohio,44221,East
Dallas|Texas,Dallas,United States,Texas,75081,Central
Danbury|Connecticut,Danbury,United States,Connecticut,6810,East
Danville|California,Danville,United States,California,94526,West
Danville|Illinois,Danville,United States,Illinois,61832,Central
Davis|California,Davis,United States,California,95616,West
Daytona Beach|Florida,Daytona Beach,United States,Florida,32114,South
Dearborn|Michigan,Dearborn,United States,Michigan,48126,Central
Dearborn Heights|Michigan,Dearborn Heights,United States,Michigan,48127,Central
Decatur|Alabama,Decatur,United States,Alabama,35601,South
Decatur|Illinois,Decatur,United States,Illinois,62521,Central
Deer Park|Texas,Deer Park,United States,Texas,77536,Central
Delray Beach|Florida,Delray Beach,United States,Florida,33445,South
Deltona|Florida,Deltona,United States,Florida,32725,South
Denver|Colorado,Denver,United States,Colorado,80219,West
Des Moines|Iowa,Des Moines,United States,Iowa,50315,Central
Des Moines|Washington,Des Moines,United States,Washington,98198,West
Des Plaines|Illinois,Des Plaines,United States,Illinois,60016,Central
Detroit|Michigan,Detroit,United States,Michigan,48205,Central
Dover|Delaware,Dover,United States,Delaware,19901,East
Dover|New Hampshire,Dover,United States,New Hampshire,3820,East
Draper|Utah,Draper,United States,Utah,84020,West
Dublin|California,Dublin,United States,California,94568,West
Dublin|Ohio,Dublin,United States,Ohio,43017,East
Dubuque|Iowa,Dubuque,United States,Iowa,52001,Central
Durham|North Carolina,Durham,United States,North Carolina,27707,South
Eagan|Minnesota,Eagan,United States,Minnesota,55122,Central
East Orange|New Jersey,East Orange,United States,New Jersey,7017,East
East Point|Georgia,East Point,United States,Georgia,30344,South
Eau Claire|Wisconsin,Eau Claire,United States,Wisconsin,54703,Central
Edinburg|Texas,Edinburg,United States,Texas,78539,Central
Edmond|Oklahoma,Edmond,United States,Oklahoma,73034,Central
Edmonds|Washington,Edmonds,United States,Washington,98026,West
Edmonton|Alberta,Edmonton,Canada,Alberta,T5A,West
El Cajon|California,El Cajon,United States,California,92020,West
El Paso|Texas,El Paso,United States,Texas,79907,Central
Elkhart|Indiana,Elkhart,United States,Indiana,46514,Central
Elmhurst|Illinois,Elmhurst,United States,Illinois,60126,Central
Elyria|Ohio,Elyria,United States,Ohio,44035,East
Encinitas|California,Encinitas,United States,California,92024,West
Englewood|Colorado,Englewood,United States,Colorado,80112,West
Escondido|California,Escondido,United States,California,92025,West
Eugene|Oregon,Eugene,United States,Oregon,97405,West
Evanston|Illinois,Evanston,United States,Illinois,60201,Central
Everett|Massachusetts,Everett,United States,Massachusetts,2149,East
Everett|Washington,Everett,United States,Washington,98208,West
Fairfield|California,Fairfield,United States,California,94533,West
Fairfield|Connecticut,Fairfield,United States,Connecticut,6824,East
Fairfield|Ohio,Fairfield,United States,Ohio,45014,East
Fargo|North Dakota,Fargo,United States,North Dakota,58103,Central
Farmington|New Mexico,Farmington,United States,New Mexico,87401,West
Fayetteville|Arkansas,Fayetteville,United States,Arkansas,72701,South
Fayetteville|North Carolina,Fayetteville,United States,North Carolina,28314,South
Florence|Alabama,Florence,United States,Alabama,35630,South
Florence|Kentucky,Florence,United States,Kentucky,41042,South
Florence|South Carolina,Florence,United States,South Carolina,29501,South
Fort Collins|Colorado,Fort Collins,United States,Colorado,80525,West
Fort Lauderdale|Florida,Fort Lauderdale,United States,Florida,33311,South
Fort Worth|Texas,Fort Worth,United States,Texas,76106,Central
Frankfort|Illinois,Frankfort,United States,Illinois,60423,Central
Franklin|Massachusetts,Franklin,United States,Massachusetts,2038,East
Franklin|Tennessee,Franklin,United States,Tennessee,37064,South
Franklin|Wisconsin,Franklin,United States,Wisconsin,53132,Central
Freeport|Illinois,Freeport,United States,Illinois,61032,Central
Freeport|New York,Freeport,United States,New York,11520,East
Fremont|Nebraska,Fremont,United States,Nebraska,68025,Central
Fresno|California,Fresno,United States,California,93727,West
Frisco|Texas,Frisco,United States,Texas,75034,Central
Gaithersburg|Maryland,Gaithersburg,United States,Maryland,20877,East
Garden City|Kansas,Garden City,United States,Kansas,67846,Central
Garland|Texas,Garland,United States,Texas,75043,Central
Gastonia|North Carolina,Gastonia,United States,North Carolina,28052,South
Georgetown|Kentucky,Georgetown,United States,Kentucky,40324,South
Gilbert|Arizona,Gilbert,United States,Arizona,85234,West
Gladstone|Missouri,Gladstone,United States,Missouri,64118,Central
Glendale|Arizona,Glendale,United States,Arizona,85301,West
Glenview|Illinois,Glenview,United States,Illinois,60025,Central
Goldsboro|North Carolina,Goldsboro,United States,North Carolina,27534,South
Grand Island|Nebraska,Grand Island,United States,Nebraska,68801,Central
Grand Prairie|Texas,Grand Prairie,United States,Texas,75051,Central
Grand Rapids|Michigan,Grand Rapids,United States,Michigan,49505,Central
Grapevine|Texas,Grapevine,United States,Texas,76051,Central
Great Falls|Montana,Great Falls,United States,Montana,59405,West
Greeley|Colorado,Greeley,United States,Colorado,80634,West
Green Bay|Wisconsin,Green Bay,United States,Wisconsin,54302,Central
Greensboro|North Carolina,Greensboro,United States,North Carolina,27405,South
Greenville|North Carolina,Greenville,United States,North Carolina,27834,South
Greenwood|Indiana,Greenwood,United States,Indiana,46142,Central
Gresham|Oregon,Gresham,United States,Oregon,97030,West
Grove City|Ohio,Grove City,United States,Ohio,43123,East
Gulfport|Mississippi,Gulfport,United States,Mississippi,39503,South
Hackensack|New Jersey,Hackensack,United States,New Jersey,7601,East
Hagerstown|Maryland,Hagerstown,United States,Maryland,21740,East
Halifax|Nova Scotia,Halifax,Canada,Nova Scotia,B3H,East
Haltom City|Texas,Haltom City,United States,Texas,76117,Central
Hamilton|Ohio,Hamilton,United States,Ohio,45011,East
Hampton|Virginia,Hampton,United States,Virginia,23666,South
Harlingen|Texas,Harlingen,United States,Texas,78550,Central
Harrisonburg|Virginia,Harrisonburg,United States,Virginia,22801,South
Hattiesburg|Mississippi,Hattiesburg,United States,Mississippi,39401,South
Helena|Montana,Helena,United States,Montana,59601,West
Hempstead|New York,Hempstead,United States,New York,11550,East
Henderson|Kentucky,Henderson,United States,Kentucky,42420,South
Henderson|Nevada,Henderson,United States,Nevada,89015,West
Hendersonville|Tennessee,Hendersonville,United States,Tennessee,37075,South
Hesperia|California,Hesperia,United States,California,92345,West
Hialeah|Florida,Hialeah,United States,Florida,33012,South
Hickory|North Carolina,Hickory,United States,North Carolina,28601,South
Highland Park|Illinois,Highland Park,United States,Illinois,60035,Central
Hillsboro|Oregon,Hillsboro,United States,Oregon,97123,West
Holland|Michigan,Holland,United States,Michigan,49423,Central
Hollywood|Florida,Hollywood,United States,Florida,33021,South
Holyoke|Massachusetts,Holyoke,United States,Massachusetts,1040,East
Homestead|Florida,Homestead,United States,Florida,33030,South
Hoover|Alabama,Hoover,United States,Alabama,35244,South
Hot Springs|Arkansas,Hot Springs,United States,Arkansas,71901,South
Houston|Texas,Houston,United States,Texas,77036,Central
Huntington Beach|California,Huntington Beach,United States,California,92646,West
Huntsville|Alabama,Huntsville,United States,Alabama,35810,South
Huntsville|Texas,Huntsville,United States,Texas,77340,Central
Independence|Missouri,Independence,United States,Missouri,64055,Central
Indianapolis|Indiana,Indianapolis,United States,Indiana,46203,Central
Inglewood|California,Inglewood,United States,California,90301,West
Iowa City|Iowa,Iowa City,United States,Iowa,52240,Central
Irving|Texas,Irving,United States,Texas,75061,Central
Jackson|Michigan,Jackson,United States,Michigan,49201,Central
Jackson|Mississippi,Jackson,United States,Mississippi,39212,South
Jackson|Tennessee,Jackson,United States,Tennessee,38301,South
Jacksonville|Florida,Jacksonville,United States,Florida,32216,South
Jacksonville|North Carolina,Jacksonville,United States,North Carolina,28540,South
Jamestown|New York,Jamestown,United States,New York,14701,East
Jefferson City|Missouri,Jefferson City,United States,Missouri,65109,Central
Johnson City|Tennessee,Johnson City,United States,Tennessee,37604,South
Jonesboro|Arkansas,Jonesboro,United States,Arkansas,72401,South
Jupiter|Florida,Jupiter,United States,Florida,33458,South
Keller|Texas,Keller,United States,Texas,76248,Central
Kenner|Louisiana,Kenner,United States,Louisiana,70065,South
Kenosha|Wisconsin,Kenosha,United States,Wisconsin,53142,Central
Kent|Ohio,Kent,United States,Ohio,44240,East
Kent|Washington,Kent,United States,Washington,98031,West
Kirkwood|Missouri,Kirkwood,United States,Missouri,63122,Central
